中央频道,#genre#
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8#https://hls.gstv.com.cn/49048r/6e1sy2.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
河北频道,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
延边频道,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
山东教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
金鹰卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
哈哈炫动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
优漫卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225795/index.m3u8
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
北京卡酷,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
冬奥纪实,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226232/index.m3u8
嘉佳卡通,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226227/index.m3u8
安多卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226228/index.m3u8
康巴卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226234/index.m3u8
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8
哒啵电竞,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226951/index.m3u8
哒啵赛事,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226954/index.m3u8

电影,#genre#
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
星爷,http://43.128.40.42:198/虎牙直播/huya.php?id=11342412
英叔,http://43.128.40.42:198/虎牙直播/huya.php?id=11342421
达叔,http://43.128.40.42:198/虎牙直播/huya.php?id=11336592
发哥,http://43.128.40.42:198/虎牙直播/huya.php?id=11342387
成龙,http://43.128.40.42:198/虎牙直播/huya.php?id=11342386
王晶,http://43.128.40.42:198/虎牙直播/huya.php?id=11602058
沈腾,http://43.128.40.42:198/虎牙直播/huya.php?id=11601968
黄渤,http://43.128.40.42:198/虎牙直播/huya.php?id=11352876
强森,http://43.128.40.42:198/虎牙直播/huya.php?id=21059581
漫威,http://43.128.40.42:198/虎牙直播/huya.php?id=11602034
宇宙,http://43.128.40.42:198/虎牙直播/huya.php?id=11342428
怪兽,http://43.128.40.42:198/虎牙直播/huya.php?id=21059577
武侠,http://43.128.40.42:198/虎牙直播/huya.php?id=11342427
警匪,http://43.128.40.42:198/虎牙直播/huya.php?id=11352886
罪犯,http://43.128.40.42:198/虎牙直播/huya.php?id=11352962
枪战,http://43.128.40.42:198/虎牙直播/huya.php?id=21059579
海盗,http://43.128.40.42:198/虎牙直播/huya.php?id=21059595
赛车,http://43.128.40.42:198/虎牙直播/huya.php?id=11279247
推荐,http://43.128.40.42:198/虎牙直播/huya.php?id=11602041
救援,http://43.128.40.42:198/虎牙直播/huya.php?id=21059594
热血,http://43.128.40.42:198/虎牙直播/huya.php?id=11352934
盗墓,http://43.128.40.42:198/虎牙直播/huya.php?id=21059552
贺岁,http://43.128.40.42:198/虎牙直播/huya.php?id=11601971
玄幻,http://43.128.40.42:198/虎牙直播/huya.php?id=11342414
谍战,http://43.128.40.42:198/虎牙直播/huya.php?id=21059585
战争,http://43.128.40.42:198/虎牙直播/huya.php?id=21059592
喜剧,http://43.128.40.42:198/虎牙直播/huya.php?id=11352877
港片,http://43.128.40.42:198/虎牙直播/huya.php?id=11602043
国产,http://43.128.40.42:198/虎牙直播/huya.php?id=11352973
周星星,http://43.128.40.42:198/虎牙直播/huya.php?id=11336587
李连杰,http://43.128.40.42:198/虎牙直播/huya.php?id=11342390
洪金宝,http://43.128.40.42:198/虎牙直播/huya.php?id=11279251
梁家辉,http://43.128.40.42:198/虎牙直播/huya.php?id=11342429
许冠英,http://43.128.40.42:198/虎牙直播/huya.php?id=11601972
刘德华,http://43.128.40.42:198/虎牙直播/huya.php?id=11342424
斯坦森,http://43.128.40.42:198/虎牙直播/huya.php?id=21059588
小鬼头,http://43.128.40.42:198/虎牙直播/huya.php?id=11352963
八点档,http://43.128.40.42:198/虎牙直播/huya.php?id=880261
蜘蛛侠,http://43.128.40.42:198/虎牙直播/huya.php?id=21059599
贺岁片,http://43.128.40.42:198/虎牙直播/huya.php?id=11601986
功夫片,http://43.128.40.42:198/虎牙直播/huya.php?id=11352941
黑帮片,http://43.128.40.42:198/虎牙直播/huya.php?id=11336719
丧尸片,http://43.128.40.42:198/虎牙直播/huya.php?id=21059578
灾难片,http://43.128.40.42:198/虎牙直播/huya.php?id=11602075
谍战片,http://43.128.40.42:198/虎牙直播/huya.php?id=21059587
战争片,http://43.128.40.42:198/虎牙直播/huya.php?id=21059574
犯罪片,http://43.128.40.42:198/虎牙直播/huya.php?id=11352974
古装片,http://43.128.40.42:198/虎牙直播/huya.php?id=11336590
高分动作,http://43.128.40.42:198/虎牙直播/huya.php?id=11352884
动作电影,http://43.128.40.42:198/虎牙直播/huya.php?id=11602077
搞笑喜剧,http://43.128.40.42:198/虎牙直播/huya.php?id=11342423
喜剧专场,http://43.128.40.42:198/虎牙直播/huya.php?id=11602044
欢笑影院,http://43.128.40.42:198/虎牙直播/huya.php?id=11352894
不挤影院,http://43.128.40.42:198/虎牙直播/huya.php?id=11352897
国产悬疑,http://43.128.40.42:198/虎牙直播/huya.php?id=11342395
快意江湖,http://43.128.40.42:198/虎牙直播/huya.php?id=11342435
黑帮斗争,http://43.128.40.42:198/虎牙直播/huya.php?id=11342419
古墓系列,http://43.128.40.42:198/虎牙直播/huya.php?id=11352913
嫣然影厅,http://43.128.40.42:198/虎牙直播/huya.php?id=11601977
女神系列,http://43.128.40.42:198/虎牙直播/huya.php?id=11336571
经典女神,http://43.128.40.42:198/虎牙直播/huya.php?id=11352909
许氏三杰,http://43.128.40.42:198/虎牙直播/huya.php?id=11602033
经典港片,http://43.128.40.42:198/虎牙直播/huya.php?id=11352965
镖行天下,http://43.128.40.42:198/虎牙直播/huya.php?id=11352969
高能反转,http://43.128.40.42:198/虎牙直播/huya.php?id=11352887
喜乐影院,http://43.128.40.42:198/虎牙直播/huya.php?id=21059580
蘑菇影厅,http://43.128.40.42:198/虎牙直播/huya.php?id=11601981
搞笑恐怖,http://43.128.40.42:198/虎牙直播/huya.php?id=11601960
死神来了,http://43.128.40.42:198/虎牙直播/huya.php?id=11352903
变形金刚,http://43.128.40.42:198/虎牙直播/huya.php?id=21059596
怪兽系列,http://43.128.40.42:198/虎牙直播/huya.php?id=21059554

少儿频道,#genre#
央视少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
重庆少儿,https://live.goodiptv.club/api/cqyx.php?id=cqseHD
山东少儿,http://150.138.8.132/00/SNM/CHANNEL00000340/index.m3u8
山东少儿,rtmp:/[表情]vealone.iqilu.com/iqilu/sepdhjOF03kn
广东少儿,http://angtv.cc/jd/gdlz.php?id=gdse
广东少儿,http://183.238.218.219:9600/hls/26/index.m3u8
广东少儿,http://183.236.13.168:808/hls/59/index.m3u8
江西少儿,http://115.150.63.77:9901/tsfile/live/1062_1.m3u8
河北少儿,http://cu4.iblink.cn:8000/udp/239.253.92.174:6004
深圳少儿,http://183.238.218.219:9600/hls/30/index.m3u8
甘肃少儿,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226289/1.m3u8
新疆少儿,https://liveplay.xjbs.com.cn/liveback/xjtvs-12.m3u8
宁夏少儿,https://hls.ningxiahuangheyun.com/live/nxse1M.m3u8
内蒙古少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=ff5a1fd70ea228ee35b0d29895f37c56&txTime=771E8800
黑龙江少儿,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/720p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787
南京少兒,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
雲朵妈妈,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d8ad434c6b08421a927557a4d98da65c/1200.m3u8
北京卡酷少儿,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225743/index.m3u8
哈哈炫动,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
反转星球,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3ccdecc7d6e341c1920ad4eac5d82f38/1200.m3u8
倒霉特熊,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/87f87ba569c147e3805f80e4844d2de9/1200.m3u8
嘉佳卡通,http://angtv.cc/jd/gdlz.php?id=jjkt
嘉佳卡通,http://183.236.13.168:808/hls/60/index.m3u8
嘉佳卡通,http://183.238.218.219:9600/hls/27/index.m3u8
嘉佳卡通,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225681/1.m3u8
金鹰卡通,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0T0ZQXwaiVktPr6ILPKXqwOw2VoxnxHvBSRSzCCC3szSwIgrD0rUpRXeaqChwLXCf0
金鹰卡通,http://113.100.193.10:9901/tsfile/live/1003_1.m3u8
金鹰卡通,http://180.97.247.27/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel43025/index.m3u8
动漫秀场,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/dmxc8m/8000000/mnf.m3u8
动漫秀场,http://60.168.37.86:8888/udp/238.1.78.154:7104
动漫秀场,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001196/index.m3u8?
熊大过年,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7ae265653fe149069c3b53e31caaf060/1200.m3u8
狮子王國,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c2e7e767f3144bed959ef20b8b961fe5/850.m3u8
熊大熊二,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1733da751de64e6e910abda889d87a26/1200.m3u8

🚛直播中国,#genre#
直播中国精编直播,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
直播中国精编直播,http://gcksc.v.kcdnvip.com/gc/wgw05_1/index.m3u8
直播中国精编直播,http://gcbsc.v.live.baishancdnx.cn/gc/wgw05_1/index.m3u8
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001


北京居庸关长城,https://gcalic.v.myalicdn.com/gc/syns01_1/index.m3u8
北京钟鼓楼,https://gctxyc.liveplay.myqcloud.com/gc/ztd_1_md.m3u8
北京鸟巢水立方,https://gctxyc.liveplay.myqcloud.com/gc/glxs01_1_md.m3u8
北京司马台长城,https://gcalic.v.myalicdn.com/gc/jyg02_1/index.m3u8
北京古北水镇,https://gcalic.v.myalicdn.com/gc/dlst03_1/index.m3u8
北京黄花城水长城,https://gcalic.v.myalicdn.com/gc/wgw01_1/index.m3u8
北京雁栖湖,https://gcalic.v.myalicdn.com/gc/ytsxzg_1/index.m3u8
天津滨海新城,https://gcalic.v.myalicdn.com/gc/ljgcszsnkgc_1/index.m3u8
天津解放桥,https://gcalic.v.myalicdn.com/gc/zyqcdx01_1/index.m3u8
河北承德避暑山庄龙泉公园,https://gcalic.v.myalicdn.com/gc/lpsgmjng01_1/index.m3u8
河北承德金山岭长城,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8
山西运城圣天湖,https://gctxyc.liveplay.myqcloud.com/gc/cntv486-zbzg_1/index.m3u8
山西太原汾河畔,https://gcalic.v.myalicdn.com/gc/pygc01_1/index.m3u8
